Threshold,Threshold (%),Accepted,Coverage,Coverage (%),Selective Accuracy,Selective Accuracy (%),Selective Risk (%),Wilson LB 95% (%)
0.63,63.0,16,0.8888888888888888,88.88888888888889,0.875,87.5,12.5,63.97666856325173
0.64,64.0,16,0.8888888888888888,88.88888888888889,0.875,87.5,12.5,63.97666856325173
0.65,65.0,15,0.8333333333333334,83.33333333333334,0.9333333333333333,93.33333333333333,6.666666666666665,70.18292244757602
0.66,66.0,15,0.8333333333333334,83.33333333333334,0.9333333333333333,93.33333333333333,6.666666666666665,70.18292244757602
0.67,67.0,15,0.8333333333333334,83.33333333333334,0.9333333333333333,93.33333333333333,6.666666666666665,70.18292244757602
0.68,68.0,15,0.8333333333333334,83.33333333333334,0.9333333333333333,93.33333333333333,6.666666666666665,70.18292244757602
0.6900000000000001,69.0,15,0.8333333333333334,83.33333333333334,0.9333333333333333,93.33333333333333,6.666666666666665,70.18292244757602
0.7000000000000001,70.0,15,0.8333333333333334,83.33333333333334,0.9333333333333333,93.33333333333333,6.666666666666665,70.18292244757602
0.7100000000000001,71.00000000000001,14,0.7777777777777778,77.77777777777779,0.9285714285714286,92.85714285714286,7.14285714285714,68.53073044604218
0.72,72.0,14,0.7777777777777778,77.77777777777779,0.9285714285714286,92.85714285714286,7.14285714285714,68.53073044604218
0.73,73.0,14,0.7777777777777778,77.77777777777779,0.9285714285714286,92.85714285714286,7.14285714285714,68.53073044604218
0.74,74.0,14,0.7777777777777778,77.77777777777779,0.9285714285714286,92.85714285714286,7.14285714285714,68.53073044604218
0.75,75.0,14,0.7777777777777778,77.77777777777779,0.9285714285714286,92.85714285714286,7.14285714285714,68.53073044604218
0.76,76.0,14,0.7777777777777778,77.77777777777779,0.9285714285714286,92.85714285714286,7.14285714285714,68.53073044604218
0.77,77.0,14,0.7777777777777778,77.77777777777779,0.9285714285714286,92.85714285714286,7.14285714285714,68.53073044604218
0.78,78.0,14,0.7777777777777778,77.77777777777779,0.9285714285714286,92.85714285714286,7.14285714285714,68.53073044604218
0.79,79.0,14,0.7777777777777778,77.77777777777779,0.9285714285714286,92.85714285714286,7.14285714285714,68.53073044604218
0.8,80.0,13,0.7222222222222222,72.22222222222221,0.9230769230769231,92.3076923076923,7.692307692307687,66.68546607175266
0.81,81.0,13,0.7222222222222222,72.22222222222221,0.9230769230769231,92.3076923076923,7.692307692307687,66.68546607175266
0.8200000000000001,82.0,12,0.6666666666666666,66.66666666666666,0.9166666666666666,91.66666666666666,8.333333333333337,64.61140782014047
0.8300000000000001,83.0,10,0.5555555555555556,55.55555555555556,0.9,90.0,9.999999999999998,59.58436145024278
0.8400000000000001,84.00000000000001,10,0.5555555555555556,55.55555555555556,0.9,90.0,9.999999999999998,59.58436145024278
0.85,85.0,10,0.5555555555555556,55.55555555555556,0.9,90.0,9.999999999999998,59.58436145024278
0.86,86.0,10,0.5555555555555556,55.55555555555556,0.9,90.0,9.999999999999998,59.58436145024278
0.87,87.0,8,0.4444444444444444,44.44444444444444,0.875,87.5,12.5,52.91051942301386
0.88,88.0,8,0.4444444444444444,44.44444444444444,0.875,87.5,12.5,52.91051942301386
0.89,89.0,8,0.4444444444444444,44.44444444444444,0.875,87.5,12.5,52.91051942301386
0.9,90.0,6,0.3333333333333333,33.33333333333333,0.8333333333333334,83.33333333333334,16.666666666666664,43.649056343635394
0.91,91.0,4,0.2222222222222222,22.22222222222222,1.0,100.0,0.0,51.009997959600085
0.92,92.0,3,0.16666666666666666,16.666666666666664,1.0,100.0,0.0,43.84939195509823
0.93,93.0,2,0.1111111111111111,11.11111111111111,1.0,100.0,0.0,34.23719528896193
0.9400000000000001,94.0,1,0.05555555555555555,5.555555555555555,1.0,100.0,0.0,20.654329147389294
0.9500000000000001,95.0,1,0.05555555555555555,5.555555555555555,1.0,100.0,0.0,20.654329147389294
0.9600000000000001,96.00000000000001,1,0.05555555555555555,5.555555555555555,1.0,100.0,0.0,20.654329147389294
0.97,97.0,1,0.05555555555555555,5.555555555555555,1.0,100.0,0.0,20.654329147389294
0.98,98.0,0,0.0,0.0,,,,
0.99,99.0,0,0.0,0.0,,,,
